model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.7159372419488026,0.6751677852348993,0.8314049586776859,0.7451851851851852,0.7787837874696562,0.751127242818724
Random Forest,0.6729975227085053,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.7068420478411477,0.6733730309225372
XGBoost,0.7324525185796862,0.722662440570523,0.7537190082644628,0.7378640776699029,0.7662152578894253,0.7478111359033193
