feature,importance
comparisonsQty,0.14910776033015138
loc,0.14306155723411035
rfc,0.11720543099444314
returnQty,0.10592686285979899
cbo,0.1021270928609328
wmc,0.09906844870205297
totalMethods,0.09465120121696266
lcom,0.09146348801098603
nosi,0.08055550347201483
dit,0.016832654318546858
